Pellet Index	area	eccentricity	mean_intensity	diameter	centroid
Reference	6.6966189003920045	0.18352146177663226	0.6168117761689291	2.92	(0.0, 0.0)
Pellet 1	6.140284407128669	0.2031532334981747	0.5769727924726937	2.7960781325057646	(159.88, 37.69)
Pellet 2	6.660560183236048	0.09201769839351644	0.5837053788878274	2.9121278501097128	(96.38, 52.38)
Pellet 3	6.459661616224287	0.16735926722091118	0.6497815242205336	2.867873186768309	(-10.36, 76.65)
Pellet 4	6.325729238216447	0.2048697698212778	0.6338630028102447	2.8379867186765724	(40.95, 133.08)
Pellet 5	6.1866456149006135	0.3765207871973144	0.6287137062252045	2.806613946761087	(124.8, 168.79)
