Pellet Index	area	eccentricity	mean_intensity	diameter	centroid
Reference	6.742564692950754	0.09468369034941257	0.5616531657979648	2.93	(0.0, 0.0)
Pellet 1	6.881256688217146	0.24116287205048575	0.6314288499772002	2.9599811034720123	(-82.19, 5.53)
Pellet 2	6.411837627315511	0.25010631799191485	0.5852569867214773	2.857237340774999	(81.88, 46.21)
Pellet 3	6.987942838422063	0.08598222996385887	0.5929523625205808	2.982838439846826	(18.28, 60.95)
Pellet 4	6.689221617848295	0.21122522481495581	0.6586518738468274	2.918386795361741	(-88.69, 85.24)
Pellet 5	6.315820092131086	0.41808137112270466	0.6192197737811341	2.835763018789507	(75.36, 103.62)
Pellet 6	6.630544235235591	0.22080677637250798	0.6391060306342972	2.9055586594350014	(-37.19, 141.86)
Pellet 7	6.449177779887232	0.3675497349505136	0.6380630247003682	2.865545005819966	(46.78, 177.6)
